date,NASDAQ,S&P 500,ETF,Clean Energy,Renewable Energy,Clean Tech Stocks
2014-09-28,5.0,4.0,0.0,17.0,26.0,44.0,4.0
2014-09-29,16.0,10.0,0.0,30.0,45.0,67.0,7.0
2014-09-30,17.0,10.0,0.0,31.0,55.0,72.0,9.0
2014-10-01,18.0,12.0,0.0,33.0,44.0,67.0,10.0
2014-10-02,18.0,13.0,0.0,33.0,52.0,62.0,11.0
2014-10-03,17.0,11.0,0.0,31.0,43.0,54.0,11.0
2014-10-04,6.0,5.0,0.0,18.0,22.0,34.0,7.0
2014-10-05,5.0,4.0,0.0,18.0,20.0,36.0,6.0
2014-10-06,16.0,10.0,0.0,30.0,46.0,63.0,10.0
2014-10-07,18.0,12.0,0.0,32.0,54.0,74.0,11.0
2014-10-08,18.0,13.0,0.0,32.0,52.0,68.0,12.0
2014-10-09,20.0,13.0,0.0,32.0,47.0,67.0,14.0
2014-10-10,21.0,15.0,0.0,33.0,42.0,62.0,17.0
2014-10-11,9.0,7.0,0.0,19.0,30.0,41.0,10.0
2014-10-12,7.0,6.0,0.0,17.0,24.0,42.0,8.0
2014-10-13,21.0,15.0,0.0,34.0,51.0,67.0,18.0
2014-10-14,21.0,19.0,0.0,36.0,57.0,78.0,23.0
2014-10-15,24.0,23.0,0.0,43.0,49.0,72.0,30.0
2014-10-16,23.0,21.0,0.0,43.0,54.0,69.0,26.0
2014-10-17,19.0,17.0,0.0,33.0,43.0,59.0,21.0
2014-10-18,8.0,7.0,0.0,18.0,27.0,36.0,12.0
2014-10-19,7.0,5.0,0.0,17.0,29.0,46.0,11.0
2014-10-20,19.0,14.0,0.0,30.0,53.0,73.0,21.0
2014-10-21,20.0,15.0,0.0,35.0,40.0,76.0,19.0
2014-10-22,21.0,14.0,0.0,31.0,45.0,74.0,17.0
2014-10-23,20.0,14.0,0.0,31.0,48.0,63.0,17.0
2014-10-24,18.0,13.0,0.0,28.0,40.0,57.0,15.0
2014-10-25,7.0,6.0,0.0,17.0,24.0,34.0,10.0
2014-10-26,6.0,4.0,0.0,17.0,28.0,44.0,9.0
2014-10-27,18.0,13.0,0.0,31.0,48.0,70.0,20.0
2014-10-28,19.0,13.0,0.0,32.0,50.0,72.0,21.0
2014-10-29,20.0,13.0,0.0,30.0,54.0,72.0,18.0
2014-10-30,20.0,12.0,0.0,32.0,48.0,68.0,16.0
2014-10-31,19.0,16.0,0.0,38.0,38.0,57.0,17.0
2014-11-01,7.0,7.0,0.0,21.0,24.0,34.0,12.0
2014-11-02,6.0,6.0,0.0,20.0,23.0,52.0,10.0
2014-11-03,19.0,13.0,0.0,34.0,45.0,76.0,19.0
2014-11-04,19.0,13.0,0.0,35.0,47.0,77.0,29.0
2014-11-05,21.0,14.0,0.0,37.0,52.0,76.0,25.0
2014-11-06,21.0,13.0,0.0,39.0,48.0,74.0,23.0
2014-11-07,19.0,12.0,0.0,35.0,43.0,63.0,17.0
2014-11-08,8.0,6.0,0.0,21.0,21.0,44.0,11.0
2014-11-09,5.0,4.0,0.0,20.0,24.0,50.0,10.0
2014-11-10,17.0,12.0,0.0,34.0,52.0,77.0,17.0
2014-11-11,19.0,13.0,0.0,36.0,42.0,75.0,17.0
2014-11-12,20.0,13.0,0.0,35.0,47.0,84.0,16.0
2014-11-13,19.0,12.0,0.0,36.0,63.0,77.0,23.0
2014-11-14,18.0,11.0,0.0,36.0,39.0,69.0,23.0
2014-11-15,7.0,6.0,0.0,19.0,21.0,42.0,14.0
2014-11-16,6.0,5.0,0.0,21.0,23.0,48.0,11.0
2014-11-17,18.0,11.0,0.0,34.0,52.0,85.0,21.0
2014-11-18,18.0,13.0,0.0,35.0,46.0,84.0,21.0
2014-11-19,19.0,12.0,0.0,35.0,51.0,81.0,19.0
2014-11-20,17.0,12.0,0.0,31.0,61.0,80.0,17.0
2014-11-21,17.0,13.0,0.0,33.0,45.0,68.0,15.0
2014-11-22,6.0,6.0,0.0,19.0,22.0,40.0,10.0
2014-11-23,5.0,5.0,0.0,20.0,23.0,48.0,9.0
2014-11-24,17.0,11.0,0.0,33.0,53.0,74.0,17.0
2014-11-25,17.0,12.0,0.0,33.0,43.0,72.0,16.0
2014-11-26,16.0,10.0,0.0,33.0,33.0,71.0,16.0
2014-11-27,11.0,6.0,0.0,28.0,28.0,58.0,27.0
2014-11-28,14.0,7.0,0.0,34.0,26.0,52.0,44.0
2014-11-29,7.0,5.0,0.0,23.0,25.0,33.0,29.0
2014-11-30,6.0,4.0,0.0,25.0,28.0,49.0,24.0
2014-12-01,16.0,11.0,0.0,38.0,44.0,75.0,45.0
2014-12-02,17.0,12.0,0.0,39.0,64.0,78.0,43.0
2014-12-03,18.0,11.0,0.0,38.0,56.0,76.0,37.0
2014-12-04,16.0,11.0,0.0,41.0,44.0,75.0,35.0
2014-12-05,16.0,11.0,0.0,38.0,44.0,66.0,32.0
2014-12-06,7.0,6.0,0.0,25.0,27.0,43.0,20.0
