date,misc_pca_component_1
2020-06-22,-3.473158027278581
2020-06-23,6.992234969911372
2020-06-24,-1.5108968403054632
2020-06-25,-3.473158027278581
2020-06-26,0.4513643466676527
2020-06-27,-2.164983902629835
2020-06-28,-8.705854525873558
2020-06-29,-2.164983902629835
2020-06-30,-1.5108968403054632
2020-07-01,-19.171247523063514
2020-07-02,0.4513643466676527
2020-07-03,3.7217996582895125
2020-07-04,-19.171247523063514
2020-07-05,-4.781332151927325
2020-07-06,-1.5108968403054632
2020-07-07,2.4136255336407686
2020-07-08,3.0677125959651406
2020-07-09,-4.781332151927325
2020-07-10,-2.819070964954207
2020-07-11,-7.3976804012248145
2020-07-12,-6.7435933389004425
2020-07-13,3.7217996582895125
2020-07-14,1.7595384713163966
2020-07-15,6.338147907587
2020-07-16,-1.5108968403054632
