Date,NAV
04-08-2015,10.45
05-08-2015,10.59
06-08-2015,10.44
07-08-2015,10.35
10-08-2015,10.46
11-08-2015,10.28
12-08-2015,10.22
13-08-2015,10.26
14-08-2015,10.26
17-08-2015,10.28
18-08-2015,10.26
19-08-2015,10.05
20-08-2015,9.70
21-08-2015,9.38
24-08-2015,9.05
25-08-2015,9.17
26-08-2015,9.18
27-08-2015,9.55
28-08-2015,9.63
31-08-2015,9.47
01-09-2015,9.25
02-09-2015,9.23
03-09-2015,9.28
04-09-2015,9.12
08-09-2015,9.33
09-09-2015,9.43
10-09-2015,9.42
11-09-2015,9.37
14-09-2015,9.34
15-09-2015,9.40
16-09-2015,9.51
17-09-2015,9.54
18-09-2015,9.43
21-09-2015,9.37
22-09-2015,9.21
23-09-2015,9.04
24-09-2015,8.95
25-09-2015,9.02
28-09-2015,8.84
29-09-2015,8.80
30-09-2015,9.05
01-10-2015,9.09
02-10-2015,9.38
05-10-2015,9.62
06-10-2015,9.74
07-10-2015,9.92
08-10-2015,9.94
09-10-2015,10.07
12-10-2015,9.99
13-10-2015,9.88
14-10-2015,10.01
15-10-2015,10.18
16-10-2015,10.09
19-10-2015,10.03
20-10-2015,10.06
21-10-2015,10.02
22-10-2015,10.03
23-10-2015,10.02
26-10-2015,9.99
27-10-2015,9.77
28-10-2015,9.86
29-10-2015,9.87
30-10-2015,9.82
02-11-2015,9.88
03-11-2015,9.90
04-11-2015,9.91
05-11-2015,9.87
06-11-2015,9.92
09-11-2015,9.79
10-11-2015,9.55
11-11-2015,9.52
12-11-2015,9.41
13-11-2015,9.29
16-11-2015,9.34
17-11-2015,9.26
18-11-2015,9.30
19-11-2015,9.37
20-11-2015,9.40
23-11-2015,9.38
24-11-2015,9.41
25-11-2015,9.41
27-11-2015,9.41
30-11-2015,9.35
01-12-2015,9.51
02-12-2015,9.62
03-12-2015,9.65
04-12-2015,9.63
07-12-2015,9.55
08-12-2015,9.43
09-12-2015,9.45
10-12-2015,9.32
11-12-2015,9.13
14-12-2015,9.30
15-12-2015,9.46
16-12-2015,9.90
17-12-2015,9.91
18-12-2015,9.85
21-12-2015,9.78
22-12-2015,9.69
23-12-2015,9.83
24-12-2015,9.89
28-12-2015,9.82
29-12-2015,9.82
30-12-2015,9.78
31-12-2015,9.78
04-01-2016,9.68
05-01-2016,9.66
06-01-2016,9.55
07-01-2016,9.20
08-01-2016,9.14
11-01-2016,8.95
12-01-2016,8.86
13-01-2016,8.74
14-01-2016,8.60
15-01-2016,8.33
19-01-2016,8.30
20-01-2016,8.07
21-01-2016,8.00
22-01-2016,8.31
25-01-2016,8.24
26-01-2016,8.33
27-01-2016,8.38
28-01-2016,8.33
29-01-2016,8.63
01-02-2016,8.68
02-02-2016,8.47
03-02-2016,8.46
04-02-2016,8.56
05-02-2016,8.37
08-02-2016,8.10
09-02-2016,8.12
10-02-2016,8.00
11-02-2016,7.72
12-02-2016,7.73
16-02-2016,8.04
17-02-2016,8.19
18-02-2016,8.25
19-02-2016,8.17
22-02-2016,8.31
23-02-2016,8.21
24-02-2016,8.27
25-02-2016,8.35
26-02-2016,8.42
29-02-2016,8.43
01-03-2016,8.49
02-03-2016,8.65
03-03-2016,8.77
04-03-2016,8.90
07-03-2016,8.96
08-03-2016,8.83
09-03-2016,8.88
10-03-2016,8.87
11-03-2016,9.08
14-03-2016,9.09
15-03-2016,8.98
16-03-2016,8.99
17-03-2016,9.25
18-03-2016,9.35
21-03-2016,9.30
22-03-2016,9.23
23-03-2016,9.03
24-03-2016,8.96
28-03-2016,9.01
29-03-2016,9.09
30-03-2016,9.27
31-03-2016,9.27
01-04-2016,9.17
04-04-2016,9.09
05-04-2016,8.96
06-04-2016,8.97
07-04-2016,8.92
08-04-2016,9.00
11-04-2016,9.06
12-04-2016,9.16
13-04-2016,9.29
14-04-2016,9.25
15-04-2016,9.25
18-04-2016,9.20
19-04-2016,9.31
20-04-2016,9.33
21-04-2016,9.33
22-04-2016,9.30
25-04-2016,9.17
26-04-2016,9.26
27-04-2016,9.31
28-04-2016,9.24
29-04-2016,9.23
02-05-2016,9.10
03-05-2016,8.88
04-05-2016,8.82
05-05-2016,8.73
